Task ID,Type,Name,Status,Project,Context,Start Date,Due Date,Completion Date,Duration,Flagged,Notes
33.2.2.3,Action,☘ 每天晚饭的饭量保持6分饱即可,,Body building,,,,,,0,
33.2.2.4,Action,☘ 每周六的中晚餐自己煮,,Body building,,,,,,0,
33.2.2.5,Action,☘ 每周日的中晚餐自己煮,,Body building,,,,,,0,
33.2.3,Action,☘ 坐与行习惯,,Body building,,,,,,0,
33.3,Action,☘☯养生,,Body building,,,,,,0,
33.3.1,Action,☘穴位按摩与身体调理,,Body building,,,,,,0,
33.3.1.1,Action,☘☯ 寻找动作教学视频，并保存到手机,,Body building,,,,,,0,
33.3.1.2,Action,☘☯ 制定穴位按摩计划,,Body building,,,,,,0,
33.3.1.3,Action,☘☯ 每天进行穴位按摩,,Body building,,,,,,0,
33.3.2,Action,☘ 食材,,Body building,,,,,,0,
33.3.2.1,Action,☘ 寻找合理的食材安排知识，形成方法库,,Body building,,,,,,0,
33.3.2.2,Action,☘ 购买食材并按计划进行食用,,Body building,,,,,,0,
33.3.3,Action,☘ 卫生习惯,,Body building,,,,,,0,
33.3.3.1,Action,☘ 每周洗头3次,,Body building,,,,,,0,
33.3.3.2,Action,☘ 每天早晚各刷牙一次,,Body building,,,,,,0,
33.3.3.3,Action,☘ 每天早上冷水洗鼻子,,Body building,,,,,,0,
34,Project,Reading,active,,,,,,,0,
34.1,Action,☘☯《白话史记》阅读,,Reading,,2018-12-31 16:00:00 +0000,2019-02-10 09:00:00 +0000,,,0,
34.1.1,Action,☘第一段阅读与过程记录心得输出,,Reading,,,,,,0,
34.1.1.1,Action,☘ 太史公自序130 ～ 五帝本纪1,,Reading,,,,,,0,start 4.02
34.1.1.2,Action,☘ 吴太伯世家31 ～ 晋世家39 夏本纪2 ～ 项羽本纪7,,Reading,,,,,,0,
34.1.1.3,Action,☘ 楚世家40 荆燕世家51,,Reading,,,,,,0,
34.1.1.4,Action,☘ 伯夷列传61 ～ 商君列传68 外戚世家49 ～ 齐悼惠王世家52,,Reading,,,,,,0,
34.1.1.5,Action,☘ 苏秦列传 69 鲁仲连邹阳列传83,,Reading,,,,,,0,
34.1.1.6,Action,☘ 屈原贾生列传84 张耳陈馀列传89,,Reading,,,,,,0,
34.1.2,Action,☘ 第二段阅读与过程记录心得输出,,Reading,,,2019-01-20 10:00:00 +0000,,,0,
34.1.2.1,Action,☘ 高祖本纪8 ～ 孝武本纪12,,Reading,,,,,,0,
34.1.2.2,Action,☘ 魏豹彭越列传 90 ～ 韩信卢绾列传93 萧相国世家53 ～ 三王世家60,,Reading,,,,,,0,
34.1.2.3,Action,☘ 田儋列传 94 韩长孺列传 108,,Reading,,,,,,0,
34.1.2.4,Action,☘ 李将军列传 109 汲郑列传120,,Reading,,,,,,0,
34.1.2.5,Action,☘ 儒林列传 121 货殖列传 129,,Reading,,,,,,0,
34.1.3,Action,☘ 第三段阅读与过程记录心得输出,,Reading,,,2019-02-10 10:00:00 +0000,,,0,
34.1.3.1,Action,☘ 礼书，乐书 ,,Reading,,,2019-01-27 02:00:00 +0000,,,0,
34.1.3.2,Action,☘ 律书，历书，天官书,,Reading,,,2019-02-01 02:00:00 +0000,,,0,
34.1.3.3,Action,☘ 封禅书，河渠书，平淮书,,Reading,,,,,,0,
35,Project,Learning,active,,,,,,,0,
35.1,Action,☘☯ Math,,Learning,,,,,,0,
35.1.1,Action,☘微积分,,Learning,,,,,,0,
35.1.1.1,Action,☘ 太史公自序130 ～ 五帝本纪1,,Learning,,,,,,0,
35.1.1.2,Action,☘ 吴太伯世家31 ～ 晋世家39 夏本纪2 ～ 项羽本纪7,,Learning,,,,,,0,
35.1.2,Action,☘ 线性代数,,Learning,,,,,,0,
35.1.2.1,Action,☘ 高祖本纪8 ～ 孝武本纪12,,Learning,,,,,,0,
35.1.3,Action,☘ 凸优化,,Learning,,,,,,0,
35.1.3.1,Action,☘ 礼书，乐书 ,,Learning,,,,,,0,
35.1.3.2,Action,☘ 律书，历书，天官书,,Learning,,,,,,0,
35.1.3.3,Action,☘ 封禅书，河渠书，平淮书,,Learning,,,,,,0,
35.2,Action,☘☯ Management,,Learning,,,,,,0,
35.2.1,Action,☘项目管理,,Learning,,,,,,0,
35.2.1.1,Action,☘ 太史公自序130 ～ 五帝本纪1,,Learning,,,,,,0,
35.2.1.2,Action,☘ 吴太伯世家31 ～ 晋世家39 夏本纪2 ～ 项羽本纪7,,Learning,,,,,,0,
35.2.2,Action,☘ 组织管理,,Learning,,,,,,0,
35.2.2.1,Action,☘ 高祖本纪8 ～ 孝武本纪12,,Learning,,,,,,0,
35.2.2.2,Action,☘ 魏豹彭越列传 90 ～ 韩信卢绾列传93 萧相国世家53 ～ 三王世家60,,Learning,,,,,,0,
35.2.3,Action,☘ 时间管理,,Learning,,,,,,0,
35.2.3.1,Action,☘ 礼书，乐书 ,,Learning,,,,,,0,
35.2.3.2,Action,☘ 律书，历书，天官书,,Learning,,,,,,0,
35.2.3.3,Action,☘ 封禅书，河渠书，平淮书,,Learning,,,,,,0,
35.2.4,Action,☘ 自我管理,,Learning,,,,,,0,
35.2.4.1,Action,☘ 礼书，乐书 ,,Learning,,,,,,0,
35.2.4.2,Action,☘ 律书，历书，天官书,,Learning,,,,,,0,
35.2.4.3,Action,☘ 封禅书，河渠书，平淮书,,Learning,,,,,,0,
35.2.5,Action,☘ 计划与汇报，思维方式,,Learning,,,,,,0,
35.2.5.1,Action,☘ 礼书，乐书 ,,Learning,,,,,,0,
35.2.5.2,Action,☘ 律书，历书，天官书,,Learning,,,,,,0,
35.2.5.3,Action,☘ 封禅书，河渠书，平淮书,,Learning,,,,,,0,
35.3,Action,☘☯ Language,,Learning,,,,,,0,
35.3.1,Action,☘英语,,Learning,,,,,,0,
35.3.1.1,Action,☘ 太史公自序130 ～ 五帝本纪1,,Learning,,,,,,0,
35.3.1.2,Action,☘ 吴太伯世家31 ～ 晋世家39 夏本纪2 ～ 项羽本纪7,,Learning,,,,,,0,
35.3.1.3,Action,☘ 楚世家40 荆燕世家51,,Learning,,,,,,0,
35.3.2,Action,☘ 日语,,Learning,,,,,,0,
35.3.2.1,Action,☘ 高祖本纪8 ～ 孝武本纪12,,Learning,,,,,,0,
35.3.2.2,Action,☘ 魏豹彭越列传 90 ～ 韩信卢绾列传93 萧相国世家53 ～ 三王世家60,,Learning,,,,,,0,
36,Project,Habit,active,,,,,,,0,
36.1,Action,☘☯ 书法,,Habit,,,,,,0,
36.1.1,Action,☘第一段阅读与过程记录心得输出,,Habit,,,,,,0,
36.1.1.1,Action,☘ 太史公自序130 ～ 五帝本纪1,,Habit,,,,,,0,
36.1.1.2,Action,☘ 吴太伯世家31 ～ 晋世家39 夏本纪2 ～ 项羽本纪7,,Habit,,,,,,0,
36.1.2,Action,☘ 第二段阅读与过程记录心得输出,,Habit,,,,,,0,
36.1.2.1,Action,☘ 高祖本纪8 ～ 孝武本纪12,,Habit,,,,,,0,
36.1.2.2,Action,☘ 魏豹彭越列传 90 ～ 韩信卢绾列传93 萧相国世家53 ～ 三王世家60,,Habit,,,,,,0,
36.1.3,Action,☘ 第三段阅读与过程记录心得输出,,Habit,,,,,,0,
36.1.3.1,Action,☘ 礼书，乐书 ,,Habit,,,,,,0,
36.1.3.2,Action,☘ 律书，历书，天官书,,Habit,,,,,,0,
36.1.3.3,Action,☘ 封禅书，河渠书，平淮书,,Habit,,,,,,0,
36.2,Action,☘☯ 乐器,,Habit,,,,,,0,
36.2.1,Action,☘第一段阅读与过程记录心得输出,,Habit,,,,,,0,
36.2.1.1,Action,☘ 太史公自序130 ～ 五帝本纪1,,Habit,,,,,,0,
36.3,Action,☘☯ 折纸,,Habit,,,,,,0,
36.3.1,Action,☘第一段阅读与过程记录心得输出,,Habit,,,,,,0,
36.3.1.1,Action,☘ 太史公自序130 ～ 五帝本纪1,,Habit,,,,,,0,
36.4,Action,☘☯ 易经算卦,,Habit,,,,,,0,
36.4.1,Action,☘第一段阅读与过程记录心得输出,,Habit,,,,,,0,
36.4.1.1,Action,☘ 太史公自序130 ～ 五帝本纪1,,Habit,,,,,,0,
36.4.1.2,Action,☘ 吴太伯世家31 ～ 晋世家39 夏本纪2 ～ 项羽本纪7,,Habit,,,,,,0,
37,Project,wealth management,active,,,,,,,0,
37.1,Action,☘ 股市,,wealth management,,,,,,0,现有解决方案的效果分析及当前项目需求方案设计的效果评估
37.1.1,Action,☘ 学习期权的投资方式和方法,,wealth management,,,,,,0,理清楚期权的玩法
37.2,Action,☘ 基金,,wealth management,,,,,,0,现有解决方案的效果分析及当前项目需求方案设计的效果评估
37.2.1,Action,☘ ***,,wealth management,,,,,,0,总体系统方案设计，输出为满足需求而设计的流程和平台，模型建模方式的总体方案，确定数据链路及所依赖平台
37.3,Action,☘ 其它商业投资,,wealth management,,,,,,0,现有解决方案的效果分析及当前项目需求方案设计的效果评估
37.3.1,Action,☘ ***,,wealth management,,,,,,0,总体系统方案设计，输出为满足需求而设计的流程和平台，模型建模方式的总体方案，确定数据链路及所依赖平台
38,Project,outdoor sport,active,,,,,,,0,
39,Project,television drama,active,,,,,,,0,
40,Project,This week,active,,,,,,,0,
40.1,Action,captcha web service,,This week,,,,,,0,
40.2,Action,ARE architecture & plan,,This week,,,,,,0,
40.3,Action,UBD architecture & code develop & data ,,This week,,,,,,0,
